% Model:              height vary box.mph
% Version:            COMSOL 5.5.0.359
% Date:               Apr 22 2022, 16:03
% Table:              Probe Table 1 - 
% height (mm)                                     Floating potential (V), Point: (3.1353, 5.4583, 10)
0.1                                               NaN
0.6                                               NaN
1.1                                               NaN
1.6                                               NaN
2.1                                               NaN
2.6                                               NaN
3.1                                               NaN
3.6                                               NaN
4.1                                               NaN
4.6                                               NaN
5.1                                               NaN
5.6                                               43.79721848603158
6.1                                               40.17600038979905
6.6                                               37.09661118415716
7.1                                               34.45894732370432
7.6                                               32.16719099178838
8.1                                               30.156375457762785
8.6                                               28.38058867867628
9.1                                               26.799052403256944
9.6                                               25.386255512305937
10.1                                              24.10928846142984
10.6                                              22.95732508222234
11.1                                              21.90053940882355
11.6                                              20.945704390555292
12.1                                              20.065689396062943
12.6                                              19.253977647346684
13.1                                              18.50285274899842
13.6                                              17.810531546493493
14.1                                              17.16790151051136
14.6                                              16.5649908457538
15.1                                              16.00689085480057
15.6                                              15.48358072745798
16.1                                              14.992951183820761
16.6                                              14.531991287887918
17.1                                              14.098332335597636
17.6                                              13.6875615898287
18.1                                              13.29899049630107
18.6                                              12.933478349679012
19.1                                              12.587438620416949
19.6                                              12.256677054203433
20.1                                              11.948206662924866
20.6                                              11.64986562299536
21.1                                              11.3649034450045
21.6                                              11.095661137517135
22.1                                              10.83805532488326
22.6                                              10.58869615947128
23.1                                              10.35262473699626
23.6                                              10.127388315476807
24.1                                              9.908910131693299
24.6                                              9.701714977559721
25.1                                              9.501204839293731
25.6                                              9.313464764575672
26.1                                              9.12701820884291
26.6                                              8.948427185745919
27.1                                              8.779960663632798
27.6                                              8.614552684845174
28.1                                              8.452805996996338
28.6                                              8.298966123725858
29.1                                              8.156035956257426
29.6                                              8.013599584296337
