% Model:              length vary box.mph
% Version:            COMSOL 5.5.0.359
% Date:               Apr 22 2022, 15:54
% Table:              Probe Table 1 - 
% length (mm)                                     Floating potential (V), Point: (5.141, 4.9649, 10)
1                                                 NaN
1.5                                               NaN
2                                                 NaN
2.5                                               NaN
3                                                 NaN
3.5                                               NaN
4                                                 NaN
4.5                                               NaN
5                                                 NaN
5.5                                               NaN
6                                                 NaN
6.5                                               NaN
7                                                 NaN
7.5                                               NaN
8                                                 NaN
8.5                                               NaN
9                                                 NaN
9.5                                               NaN
10                                                24.359162079670277
10.5                                              25.608536268668356
11                                                26.86289947558068
11.5                                              28.118175516615196
12                                                29.37011364545098
12.5                                              30.625930630610082
13                                                31.878026424955603
13.5                                              33.130262133649275
14                                                34.38823597561242
14.5                                              35.637969653207186
15                                                36.89611139955378
15.5                                              38.145772700158155
16                                                39.40246207167879
16.5                                              40.65724747354629
17                                                41.906897334940865
17.5                                              43.16254242954966
18                                                44.41616753172915
18.5                                              45.66478832218135
19                                                46.91808600255454
19.5                                              48.181189690908475
20                                                49.42702574930506
20.5                                              50.68371293601113
21                                                51.94086309782072
21.5                                              53.19011997801455
22                                                54.44087676863055
22.5                                              55.69272764149488
23                                                56.95067937878235
23.5                                              58.20602279053721
24                                                59.451048525891274
24.5                                              60.70989604783722
25                                                61.96045024141211
25.5                                              63.2109878244468
26                                                64.46741770314809
26.5                                              65.71631901426173
27                                                66.97070701071888
27.5                                              68.22760642880425
28                                                69.48878916680576
28.5                                              70.73483148102882
29                                                71.99519461226001
29.5                                              73.25153911986654
30                                                74.50352907684855
