% Model:              height vary box.mph
% Version:            COMSOL 5.5.0.359
% Date:               Apr 22 2022, 15:53
% Table:              Probe Table 1 - 
% width (mm)                                      Floating potential (V), Point: (3.1353, 5.4583, 10)
0.1                                               NaN
0.6                                               NaN
1.1                                               NaN
1.6                                               NaN
2.1                                               NaN
2.6                                               NaN
3.1                                               79.48990353996652
3.6                                               68.38006120270445
4.1                                               59.98048453812391
4.6                                               53.41775444977953
5.1                                               48.14222884777834
5.6                                               43.80219721811205
6.1                                               40.176210828182946
6.6                                               37.103035428582594
7.1                                               34.45897389713536
7.6                                               32.16794521525884
8.1                                               30.155079848845567
8.6                                               28.38213114320104
9.1                                               26.802510197988255
9.6                                               25.38623343877176
10.1                                              24.1111868646065
10.6                                              22.9578039138571
11.1                                              21.904618754116214
11.6                                              20.946158739053182
12.1                                              20.064018956323938
12.6                                              19.252731658185475
13.1                                              18.504433309474813
13.6                                              17.812956400480694
14.1                                              17.166809728971216
14.6                                              16.566391327160375
15.1                                              16.00884750210693
15.6                                              15.484931428876754
16.1                                              14.99131992259658
16.6                                              14.53227533057365
17.1                                              14.097126523397362
17.6                                              13.685239880632297
18.1                                              13.302093689568752
18.6                                              12.933562751910713
19.1                                              12.586748899534294
19.6                                              12.257544694283235
20.1                                              11.943069114497657
20.6                                              11.648915998643622
21.1                                              11.36317687859629
21.6                                              11.092904733481804
22.1                                              10.83601672981833
22.6                                              10.588692918914402
23.1                                              10.352001428607009
23.6                                              10.127112902894448
24.1                                              9.91047397987258
24.6                                              9.700263009130934
25.1                                              9.504497585904987
25.6                                              9.31232070893542
26.1                                              9.126732751856235
26.6                                              8.949974277459122
27.1                                              8.779966992536348
27.6                                              8.614395825668483
28.1                                              8.452333148473299
28.6                                              8.300288652999706
29.1                                              8.154980067720865
29.6                                              8.00919167393148
