% Model:              height vary cyl.mph
% Version:            COMSOL 5.5.0.359
% Date:               Apr 22 2022, 15:55
% Table:              Probe Table 1 - 
% height (mm)                                     Floating potential (V), Point: (1.7137, 2.996, 1)
0.1                                               NaN
0.35                                              NaN
0.6                                               NaN
0.85                                              NaN
1.1                                               0.6446936471969476
1.35                                              0.8076751882715411
1.6                                               0.9767091981226868
1.85                                              1.1543141788786166
2.1                                               1.3335585045661364
2.35                                              1.5176806758053158
2.6                                               1.7035708163176415
2.85                                              1.8934172049248417
3.1                                               2.08382721330417
3.35                                              2.2788969014693103
3.6                                               2.474963795630357
3.85                                              2.6764931490292025
4.1                                               2.874091441321961
4.35                                              3.073706362521691
4.6                                               3.271208834437997
4.85                                              3.468589925906523
5.1                                               3.6682847140674943
5.35                                              3.868985043875393
5.6                                               4.0678164353364235
5.85                                              4.267402395053218
6.1                                               4.46714410624815
6.35                                              4.666822263854677
6.6                                               4.864158019190252
6.85                                              5.063457156010714
7.1                                               5.263726084637756
7.35                                              5.462354997849703
7.6                                               5.661528385456056
7.849999999999999                                 5.862255799607422
8.1                                               6.061497020929383
8.35                                              6.259542368320159
8.6                                               6.458516819899203
8.85                                              6.655327005939428
9.1                                               6.857437215271177
9.35                                              7.055415391281981
9.6                                               7.2568353920182656
9.85                                              7.455938202448555
10.1                                              7.654455382409608
10.35                                             7.854529972468605
10.6                                              8.053498619492116
10.85                                             8.254072717577131
11.1                                              8.45189572848903
11.35                                             8.651470590295748
11.6                                              8.851471173475856
11.85                                             9.050754083926433
12.1                                              9.250209489218342
12.35                                             9.45007188941475
12.6                                              9.650104567437994
12.85                                             9.850009527844298
13.1                                              10.04937542179107
13.35                                             10.2477336846356
13.6                                              10.449585290011015
13.85                                             10.647233283644095
14.1                                              10.847844336620335
14.35                                             11.04693252048037
14.6                                              11.246935278114865
14.85                                             11.44702343594588
15.1                                              11.64720599773609
15.35                                             11.844568386752567
15.6                                              12.046813672570734
15.85                                             12.246758597717438
16.1                                              12.447754508563303
16.35                                             12.645436028972826
16.6                                              12.845253197616579
16.85                                             13.045801235440198
17.1                                              13.245093075317437
17.35                                             13.444351618295851
17.6                                              13.646937255752787
17.85                                             13.843950856481042
18.1                                              14.043463030921219
18.35                                             14.243782484742182
18.6                                              14.444011508389382
18.85                                             14.644032543008183
19.1                                              14.843330068515344
19.35                                             15.044324955994194
19.6                                              15.242873623703554
19.85                                             15.44236981025821
20.1                                              15.64193748405847
20.35                                             15.841980229780232
20.6                                              16.039884614115515
20.85                                             16.241423322484927
21.1                                              16.443018556632992
21.35                                             16.641647211668843
21.6                                              16.839037270427234
21.85                                             17.03890056644436
22.1                                              17.238426147754854
22.35                                             17.438660059821345
22.6                                              17.638373887070586
22.85                                             17.835423755328367
23.1                                              18.038015529583216
23.35                                             18.236080001082602
23.6                                              18.43915290776217
23.85                                             18.63605333775656
24.1                                              18.833469329104755
24.35                                             19.03671849240837
24.6                                              19.236052436106565
24.85                                             19.431230264047308
25.1                                              19.634583176284778
25.35                                             19.832108336587755
25.6                                              20.03420040178208
25.85                                             20.23091024544449
26.1                                              20.43025844004049
26.35                                             20.631156185439654
26.6                                              20.830209055075148
26.85                                             21.029889811982514
27.1                                              21.228988001134038
27.35                                             21.430996309379992
27.6                                              21.630703003853046
27.85                                             21.82781344086915
28.1                                              22.027618859054947
28.35                                             22.22948744805241
28.6                                              22.425768196798163
28.85                                             22.625013099235588
29.1                                              22.827923346739805
29.35                                             23.027072126197726
29.6                                              23.22431414788982
29.85                                             23.423391025095196
