% Model:              radious vary cyl.mph
% Version:            COMSOL 5.5.0.359
% Date:               Apr 22 2022, 15:56
% Table:              Probe Table 1 - 
% radious (mm)                                    Floating potential (V), Point: (-1.2241, -1.4203, 10)
1                                                 NaN
1.25                                              NaN
1.5                                               NaN
1.75                                              NaN
2                                                 197.5025244620706
2.25                                              155.84261031132826
2.5                                               126.10257291880507
2.75                                              104.08157157994314
3                                                 87.33515382291966
3.25                                              74.3284800511266
3.5                                               64.01533424864475
3.75                                              55.69377915687023
4                                                 48.882766483446744
4.25                                              43.247522675729
4.5                                               38.52338448913729
4.75                                              34.534104027869134
5                                                 31.130065776532327
5.25                                              28.192492168624938
5.5                                               25.65811451232366
5.75                                              23.437601033421846
6                                                 21.49551051597438
6.25                                              19.78653994571942
6.5                                               18.268773916577825
6.75                                              16.914081524261746
7                                                 15.709501007191994
7.25                                              14.62352507796407
7.5                                               13.645817072951198
7.75                                              12.762375348761038
8                                                 11.960870248759848
8.25                                              11.23285155638133
8.5                                               10.567716013571047
8.75                                              9.959994558757923
9                                                 9.401740060602807
9.25                                              8.88870665772515
9.5                                               8.413987344603742
9.75                                              7.979565394911074
10                                                7.5756758061704055
10.25                                             7.200650587327529
10.5                                              6.853032382269406
10.75                                             6.528930698040127
11                                                6.227835536275078
11.25                                             5.944597325374471
11.5                                              5.683345956740753
11.75                                             5.437153854371861
12                                                5.205036231385239
12.25                                             4.987744869128377
12.5                                              4.786054143303866
12.75                                             4.594886877566827
13                                                4.411214567748338
13.25                                             4.241130499698055
13.5                                              4.081297173743415
13.75                                             3.9280679077679768
14                                                3.785885915313212
14.25                                             3.6477032612432803
14.5                                              3.5165517723387674
14.75                                             3.3948931941488025
15                                                3.277347995376546
15.25                                             3.1673799147557213
15.5                                              3.0627049091062832
15.75                                             2.9630886703504786
16                                                2.8664906755820394
16.25                                             2.7755114481902154
16.5                                              2.6875579096649362
16.75                                             2.603847955100335
17                                                2.5252127568580116
17.25                                             2.448475237426192
17.5                                              2.3766793600670204
17.75                                             2.306783381137306
18                                                2.239609547622607
18.25                                             2.176234186045503
18.5                                              2.114385078279591
18.75                                             2.0555629096258112
19                                                1.999092642969838
19.25                                             1.9450885794585946
19.5                                              1.8928754384368827
19.75                                             1.842565434116686
20                                                1.7948540112826155
20.25                                             1.748456300687638
20.5                                              1.7035196494875129
20.75                                             1.6601645890340262
21                                                1.6187101481864787
21.25                                             1.578098118259203
21.5                                              1.5401665351804406
21.75                                             1.5036562776396347
22                                                1.4675888443380183
22.25                                             1.4325609413935696
22.5                                              1.3987862622893716
22.75                                             1.3668028924219462
23                                                1.3348806065159993
23.25                                             1.3049703962867891
23.5                                              1.2753955611595569
23.75                                             1.246771284941854
24                                                1.2187036810409015
24.25                                             1.19299064979625
24.5                                              1.1667255207733505
24.75                                             1.1424391778633567
25                                                1.1181824731502545
25.25                                             1.0946419720734075
25.5                                              1.0718258765516535
25.75                                             1.0496283147696612
26                                                1.0281270977323789
26.25                                             1.0067521306344787
26.5                                              0.9862013038123136
26.75                                             0.9659872309321
27                                                0.9473618489311011
27.25                                             0.9289856970570513
27.5                                              0.9106650611915825
27.75                                             0.893043770136381
28                                                0.8760221197312352
28.25                                             0.8596875012442918
28.5                                              0.8431039509519583
28.75                                             0.827472341126221
29                                                0.8121546161600237
29.25                                             0.7977110687957267
29.5                                              0.7830635029596813
29.75                                             0.769126671007148
30                                                0.7554365247059086
