% Model:              ForceVaryBox.mph
% Version:            COMSOL 5.5.0.359
% Date:               Apr 22 2022, 15:51
% Table:              Probe Table 1 - 
% force (N)                                       Floating potential (V), Point: (11.651, 14.074, 0.5)
0.1                                               0.0013839092024979845
0.35                                              0.004843682208742953
0.6                                               0.008303455214987914
0.85                                              0.011763228221232866
1.1                                               0.015223001227477842
1.35                                              0.018682774233722808
1.6                                               0.022142547239967753
1.85                                              0.025602320246212708
2.1                                               0.029062093252457698
2.35                                              0.03252186625870269
2.6                                               0.0359816392649477
2.85                                              0.03944141227119263
3.1                                               0.04290118527743755
3.35                                              0.04636095828368256
3.6                                               0.04982073128992748
3.85                                              0.053280504296172454
4.1                                               0.0567402773024174
4.35                                              0.06020005030866241
4.6                                               0.06365982331490731
4.85                                              0.0671195963211523
5.1                                               0.07057936932739724
5.35                                              0.07403914233364221
5.6                                               0.07749891533988724
5.85                                              0.08095868834613208
6.1                                               0.08441846135237707
6.35                                              0.08787823435862215
6.6                                               0.09133800736486702
6.85                                              0.09479778037111196
7.1                                               0.09825755337735696
7.35                                              0.10171732638360191
7.6                                               0.1051770993898469
7.85                                              0.10863687239609186
8.1                                               0.11209664540233691
8.35                                              0.1155564184085819
8.6                                               0.11901619141482687
8.85                                              0.12247596442107182
9.1                                               0.12593573742731676
9.35                                              0.1293955104335615
9.6                                               0.13285528343980663
9.85                                              0.13631505644605169
10.1                                              0.13977482945229666
10.35                                             0.1432346024585413
10.6                                              0.14669437546478659
10.85                                             0.15015414847103153
11.1                                              0.15361392147727662
11.35                                             0.15707369448352151
11.6                                              0.1605334674897665
11.85                                             0.16399324049601136
12.1                                              0.16745301350225633
12.35                                             0.17091278650850156
12.6                                              0.1743725595147463
12.85                                             0.17783233252099123
13.1                                              0.18129210552723635
13.35                                             0.18475187853348124
13.6                                              0.18821165153972585
13.85                                             0.19167142454597114
14.1                                              0.19513119755221595
14.35                                             0.1985909705584611
14.6                                              0.202050743564706
14.85                                             0.20551051657095096
15.1                                              0.20897028957719602
15.35                                             0.21243006258344083
15.6                                              0.21588983558968577
15.85                                             0.21934960859593064
16.1                                              0.2228093816021759
16.35                                             0.22626915460842095
16.6                                              0.22972892761466562
16.85                                             0.23318870062091093
17.1                                              0.2366484736271556
17.35                                             0.24010824663340063
17.6                                              0.24356801963964547
17.85                                             0.24702779264589053
18.1                                              0.25048756565213554
18.35                                             0.2539473386583807
18.6                                              0.25740711166462554
18.85                                             0.2608668846708704
19.1                                              0.264326657677115
19.35                                             0.26778643068336044
19.6                                              0.2712462036896053
19.85                                             0.27470597669585
20.1                                              0.2781657497020952
20.35                                             0.2816255227083406
20.6                                              0.28508529571458524
20.85                                             0.28854506872083013
21.1                                              0.292004841727075
21.35                                             0.2954646147333198
21.6                                              0.2989243877395649
21.85                                             0.30238416074581
22.1                                              0.305843933752055
22.35                                             0.3093037067582997
22.6                                              0.31276347976454505
22.85                                             0.3162232527707899
23.1                                              0.3196830257770343
23.35                                             0.3231427987832796
23.6                                              0.3266025717895248
23.85                                             0.3300623447957699
24.1                                              0.33352211780201474
24.35                                             0.3369818908082597
24.6                                              0.3404416638145041
24.85                                             0.34390143682074925
25.1                                              0.3473612098269946
25.35                                             0.3508209828332393
25.6                                              0.35428075583948404
25.85                                             0.3577405288457293
26.1                                              0.3612003018519744
26.35                                             0.3646600748582193
26.6                                              0.36811984786446367
26.85                                             0.3715796208707091
27.1                                              0.3750393938769546
27.35                                             0.378499166883199
27.6                                              0.3819589398894443
27.85                                             0.3854187128956893
28.1                                              0.388878485901934
28.35                                             0.3923382589081793
28.6                                              0.39579803191442436
28.85                                             0.39925780492066876
29.1                                              0.40271757792691365
29.35                                             0.40617735093315865
29.6                                              0.4096371239394033
29.85                                             0.41309689694564944
